Crop	Scientific name 	Dependence on pollinators	Dependence rate	Pollinator group	Order	Family	Species	reference	doi/link	Obs
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Partamona testacea	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Plebeia alvarengai	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Plebeia kerri	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Plebeia minima	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Plebeia sp. 1	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Scaptotrigona potica	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Scaura amazonica	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Scaura latitarsis	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigona guianae 	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
Assai palm (fruit)	Euterpe oleracea	great	0.65	Bees, beetles, flies, bugs	Hymenoptera	Apidae	Trigona fuscipennis 	Giannini et al.2015; Bezerra et al. 2020	 https://doi.org/10.1007/s13592-014-0316-z; https://doi.org/10.1007/s13744-020-00790-x	
